"Large urban transit statistics, revenue and passenger trips based on 10 major Canadian urban transit operators (x 1,000,000) 1"
"Frequency: Monthly"
"Table: 23-10-0078-01 (formerly CANSIM 408-0004)"
"Release date: 2017-05-05"
"Geography: Canada"
""
""

"Geography","Canada",,,,
"Urban transit","August 2016","September 2016","October 2016","November 2016","December 2016"
,"Dollars",,,,
"Total urban transit revenue, excluding subsidies (dollars)","277.0","327.8","300.5","302.3","298.1"
,"Number",,,,
"Total urban transit passenger trips (number)","120.3","151.9","142.9","145.5","141.5"




Footnotes:
1,"The companies included in this survey account for about 80% of total urban transit traffic in Canada."



"How to cite: Statistics Canada. Table 23-10-0078-01  Large urban transit statistics, revenue and passenger trips based on 10 major Canadian urban transit operators (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2310007801